Reading gatttool output from fitupchar.txt
Found 13 lines of output.
Type      Handle  UUID                                 Hex                                        Ascii                    
-----------------------------------------------------------------------------------------------------------
write_req 0xe     WYP_NOTIFY_CHAR_UUID                 0100                                       b'\x01\x00'              
write_cmd 0x11    WYP_CONF_CHAR_UUID                   a100000007e5011b012f0e0001                 b'\xa1\x00\x00\x00\x07\xe5\x01\x1b\x01\x2f\x0e\x00\x01'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 a700000101010101021101010300000100010001   b'\xa7\x00\x00\x01\x01\x01\x01\x01\x02\x11\x01\x01\x03\x00\x00\x01\x00\x01\x00\x01'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 a701000200030701010000010000000000000002   b'\xa7\x01\x00\x02\x00\x03\x07\x01\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x02'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 ad02010202020002020002020202020202000002   b'\xad\x02\x01\x02\x02\x02\x00\x02\x02\x00\x02\x02\x02\x02\x02\x02\x02\x00\x00\x02'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 b802010201000000020101010000020000000000   b'\xb8\x02\x01\x02\x01\x00\x00\x00\x02\x01\x01\x01\x00\x00\x02\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 a1000006013500090100000117196fa562ce0001   b'\xa1\x00\x00\x06\x01\x35\x00\x09\x01\x00\x00\x01\x17\x19\x6f\xa5\x62\xce\x00\x01'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   a000                                       b'\xa0\x00'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 a0000000010000                             b'\xa0\x00\x00\x00\x01\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   b300011600080000000000000000000000000000   b'\xb3\x00\x01\x16\x00\x08\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   acbd2801                                   b'\xac\xbd\x28\x01'      
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 b301000116000800010000000000000000000000   b'\xb3\x01\x00\x01\x16\x00\x08\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   e200                                       b'\xe2\x00'              
write_cmd 0x11    WYP_CONF_CHAR_UUID                   b801010201020000020101010000020000000000   b'\xb8\x01\x01\x02\x01\x02\x00\x00\x02\x01\x01\x01\x00\x00\x02\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 acbd280101010000000000000000000000000000   b'\xac\xbd\x28\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 e201000100000000000000000000000000000000   b'\xe2\x01\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 b801010201020000020101010000020000000000   b'\xb8\x01\x01\x02\x01\x02\x00\x00\x02\x01\x01\x01\x00\x00\x02\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   a000                                       b'\xa0\x00'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 a0000000010000                             b'\xa0\x00\x00\x00\x01\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   a3a0321f00271001e00000000000000000000000   b'\xa3\xa0\x32\x1f\x00\x27\x10\x01\xe0\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 a301000000000000000000000000000000000000   b'\xa3\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   e000                                       b'\xe0\x00'              
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 e000000000000000000000000000000000000000   b'\xe0\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d1010000                                   b'\xd1\x01\x00\x00'      
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d10100010001000000000000000400000049052d   b'\xd1\x01\x00\x01\x00\x01\x00\x00\x00\x00\x00\x00\x00\x04\x00\x00\x00\x49\x05\x2d'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d2010000                                   b'\xd2\x01\x00\x00'      
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d20100030000012c00000000000000000000000c   b'\xd2\x01\x00\x03\x00\x00\x01\x2c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0c'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d20200030000012d6200000000215e044900120d   b'\xd2\x02\x00\x03\x00\x00\x01\x2d\x62\x00\x00\x00\x00\x21\x5e\x04\x49\x00\x12\x0d'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d20300030000012e00000000000000064900000d   b'\xd2\x03\x00\x03\x00\x00\x01\x2e\x00\x00\x00\x00\x00\x00\x00\x06\x49\x00\x00\x0d'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d9010000                                   b'\xd9\x01\x00\x00'      
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d90100030000012c000000000000000000000000   b'\xd9\x01\x00\x03\x00\x00\x01\x2c\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d90200030000012d5e555050504b4b4b50500009   b'\xd9\x02\x00\x03\x00\x00\x01\x2d\x5e\x55\x50\x50\x50\x4b\x4b\x4b\x50\x50\x00\x09'
recv_val  0xd     WYP_NOTIFY_CHAR_UUID                 d90300030000012e000000000000000000000000   b'\xd9\x03\x00\x03\x00\x00\x01\x2e\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
write_cmd 0x11    WYP_CONF_CHAR_UUID                   d400000000000000000000000000000000000000   b'\xd4\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
