handle = 0x0002, char properties = 0x0a, char value handle = 0x0003, uuid = 00002a00-0000-1000-8000-00805f9b34fb
handle = 0x0004, char properties = 0x02, char value handle = 0x0005, uuid = 00002a01-0000-1000-8000-00805f9b34fb
handle = 0x0006, char properties = 0x02, char value handle = 0x0007, uuid = 00002a04-0000-1000-8000-00805f9b34fb
handle = 0x0008, char properties = 0x02, char value handle = 0x0009, uuid = 00002aa6-0000-1000-8000-00805f9b34fb
handle = 0x000c, char properties = 0x10, char value handle = 0x000d, uuid = f0080002-0451-4000-b000-000000000000
handle = 0x0010, char properties = 0x0c, char value handle = 0x0011, uuid = f0080003-0451-4000-b000-000000000000
handle = 0x0014, char properties = 0x10, char value handle = 0x0015, uuid = f0020002-0451-4000-b000-000000000000
handle = 0x0018, char properties = 0x08, char value handle = 0x0019, uuid = f0020003-0451-4000-b000-000000000000
handle = 0x001c, char properties = 0x22, char value handle = 0x001d, uuid = 0000fea1-0000-1000-8000-00805f9b34fb
handle = 0x0020, char properties = 0x2a, char value handle = 0x0021, uuid = 0000fea2-0000-1000-8000-00805f9b34fb
handle = 0x0024, char properties = 0x02, char value handle = 0x0025, uuid = 0000fec9-0000-1000-8000-00805f9b34fb
handle = 0x0027, char properties = 0x06, char value handle = 0x0028, uuid = 00002a4e-0000-1000-8000-00805f9b34fb
handle = 0x0029, char properties = 0x1a, char value handle = 0x002a, uuid = 00002a4d-0000-1000-8000-00805f9b34fb
handle = 0x002d, char properties = 0x1a, char value handle = 0x002e, uuid = 00002a4d-0000-1000-8000-00805f9b34fb
handle = 0x0031, char properties = 0x1a, char value handle = 0x0032, uuid = 00002a4d-0000-1000-8000-00805f9b34fb
handle = 0x0035, char properties = 0x02, char value handle = 0x0036, uuid = 00002a4b-0000-1000-8000-00805f9b34fb
handle = 0x0037, char properties = 0x1a, char value handle = 0x0038, uuid = 00002a33-0000-1000-8000-00805f9b34fb
handle = 0x003a, char properties = 0x02, char value handle = 0x003b, uuid = 00002a4a-0000-1000-8000-00805f9b34fb
handle = 0x003c, char properties = 0x04, char value handle = 0x003d, uuid = 00002a4c-0000-1000-8000-00805f9b34fb
